id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
44,Female,38,1,35,1,1-2 Year,No,2630,152,153,0
45,Female,26,1,30,1,< 1 Year,No,31136,152,186,0
46,Male,56,1,28,0,1-2 Year,Yes,34617,124,71,0
47,Female,29,1,15,1,< 1 Year,No,32923,152,34,0
48,Male,51,1,26,1,1-2 Year,,33761,22,83,0
49,Female,25,1,15,0,< 1 Year,,38667,152,12,0
50,Male,48,1,3,0,1-2 Year,,38233,124,246,0
51,Female,22,1,50,0,< 1 Year,No,15052,152,141,0
52,Male,22,1,16,0,< 1 Year,Yes,30673,152,216,0
53,Female,49,1,3,1,1-2 Year,No,25553,152,130,0
54,Male,78,1,41,1,1-2 Year,,49491,26,282,0
55,Female,44,1,28,0,1-2 Year,Yes,45415,13,73,0
56,Female,20,1,47,0,< 1 Year,Yes,25380,160,171,0
57,Male,39,1,28,0,1-2 Year,Yes,57582,26,141,0
59,Female,62,1,48,0,1-2 Year,,2630,15,295,0
60,Male,29,1,3,1,< 1 Year,No,35463,152,165,0
61,Male,49,1,8,0,1-2 Year,Yes,2630,156,30,0
62,Female,20,1,50,0,< 1 Year,Yes,36615,160,218,0
63,Female,62,1,28,0,> 2 Years,Yes,33830,26,130,0
64,Male,58,1,19,1,1-2 Year,No,39661,26,141,0
65,Male,39,1,15,0,1-2 Year,Yes,37849,124,22,0
66,Female,59,1,30,0,1-2 Year,Yes,34426,26,147,0
67,Male,41,1,28,0,1-2 Year,Yes,42268,154,36,0
68,Male,60,1,28,0,1-2 Year,Yes,66338,124,73,0
69,Male,63,1,28,1,1-2 Year,No,61739,124,79,0
71,Male,44,1,47,0,1-2 Year,Yes,46481,16,100,0
72,Female,27,1,11,0,< 1 Year,Yes,34587,26,63,0
73,Female,23,1,39,1,< 1 Year,No,40372,152,242,0
74,Male,50,1,28,1,1-2 Year,No,27784,26,277,0
75,Male,59,1,23,0,1-2 Year,No,27865,124,39,0
76,Female,59,1,26,1,1-2 Year,No,35649,122,136,0
77,Male,67,1,28,1,1-2 Year,No,31993,122,61,0
78,Female,27,1,33,1,< 1 Year,No,35512,152,111,0
80,Male,77,1,37,1,1-2 Year,No,40651,124,183,0
81,Male,54,1,26,0,1-2 Year,Yes,35493,22,74,0
82,Female,28,1,28,1,< 1 Year,No,38529,152,235,0
83,Female,39,1,8,1,1-2 Year,No,34735,152,131,0
84,Female,39,1,5,0,1-2 Year,Yes,31760,26,141,0
85,Male,69,1,28,0,1-2 Year,Yes,29802,122,158,0
86,Female,21,1,17,0,< 1 Year,Yes,27756,160,243,0
87,Female,54,1,47,0,> 2 Years,Yes,32873,26,248,0
88,Male,25,1,23,0,< 1 Year,Yes,23537,152,58,0
89,Female,23,1,35,1,< 1 Year,Yess,27606,160,114,0
91,Female,25,1,50,1,< 1 Year,,31556,152,62,0
92,Female,26,1,30,1,< 1 Year,No,31791,152,189,0
93,Male,77,1,28,0,1-2 Year,Yes,36099,124,139,0
94,Female,28,1,41,0,1-2 Year,No,2630,156,138,0
95,Female,23,1,15,0,< 1 Year,Yes,41641,152,209,0
96,Female,23,1,30,0,< 1 Year,No,26689,152,254,0
97,Male,50,1,28,0,1-2 Year,Yes,46995,52,291,0
98,Female,62,1,28,0,> 2 Years,Yes,41892,155,114,0
99,Female,21,1,2,0,< 1 Year,Yes,34274,152,79,0
100,Female,24,1,7,1,< 1 Year,Yes,2630,160,68,0
101,Male,52,1,28,1,1-2 Year,No,36033,26,92,0
102,Male,24,1,3,1,< 1 Year,No,28139,152,52,0
103,Female,20,1,30,0,< 1 Year,Yes,33227,160,78,0
104,Female,22,1,8,1,< 1 Year,No,39816,152,156,0
105,Male,29,1,41,1,< 1 Year,Yes,43046,163,222,0
107,Female,23,1,41,1,< 1 Year,No,36674,152,158,0
108,Male,31,1,29,0,1-2 Year,Yes,28867,124,247,0
109,Male,72,1,46,1,1-2 Year,Yes,28698,30,216,0
110,Male,45,1,35,0,1-2 Year,Yes,2630,124,275,0
111,Male,27,1,8,1,< 1 Year,No,31428,122,77,0
112,Female,48,1,46,0,> 2 Years,Yes,37379,11,139,0
113,Female,33,1,30,1,< 1 Year,No,24998,152,181,0
115,Female,28,1,30,1,< 1 Year,No,32830,152,275,0
116,Female,32,1,46,0,1-2 Year,Yes,34810,26,166,0
117,Male,69,1,46,0,1-2 Year,Yes,2630,11,16,0
118,Female,32,1,27,1,< 1 Year,No,22838,151,295,0
119,Female,23,1,29,1,< 1 Year,Yess,37983,152,23,0
120,Female,23,1,25,0,< 1 Year,No,2630,152,149,0
122,Female,39,1,28,1,1-2 Year,No,37243,124,31,0
123,Male,37,1,13,0,1-2 Year,Yes,30440,124,293,0
125,Male,23,1,15,1,< 1 Year,No,25605,160,256,0
126,Male,49,1,28,0,1-2 Year,Yes,2630,124,88,0
127,Male,23,1,41,1,< 1 Year,No,33307,152,147,0
128,Female,22,1,25,0,< 1 Year,Yes,23955,160,22,0
129,Female,22,1,20,0,< 1 Year,Yes,2630,152,,0
130,,27,1,,,,,22371,152,,0
132,Female,27,1,,,,,30005,152,92,0
133,Male,28,1,,,,,32600,152,131,0
134,Female,25,1,,,,,31680,152,66,0
135,Female,27,1,8,1,< 1 Year,No,40651,152,260,0
137,Female,59,1,39,0,1-2 Year,Yes,32775,124,158,0
138,Female,23,1,36,0,< 1 Year,Yes,33638,160,22,0
139,Male,36,1,28,1,1-2 Year,No,2630,26,258,0
140,Male,21,1,29,1,< 1 Year,No,62164,152,116,0
141,Female,21,1,46,1,< 1 Year,No,27528,160,117,0
142,Female,47,1,41,1,1-2 Year,No,42080,124,62,0
143,Male,25,1,28,1,< 1 Year,No,36202,152,193,0
144,Female,32,1,46,0,1-2 Year,Yes,27320,156,204,0
145,Male,21,1,3,1,< 1 Year,No,40511,160,212,0
146,Male,23,1,28,0,< 1 Year,Yes,56589,152,144,0
147,Female,27,1,30,1,< 1 Year,No,33780,152,246,0
148,Male,20,1,39,1,< 1 Year,No,28329,160,78,0
150,Female,22,1,11,1,< 1 Year,No,76651,152,258,0
151,Male,25,1,8,0,< 1 Year,Yes,54385,152,206,0
152,Male,27,1,28,0,< 1 Year,Yes,26732,152,282,0
153,Male,51,1,19,0,1-2 Year,Yes,2630,124,228,0
154,Male,53,1,28,1,1-2 Year,No,40397,122,156,0
155,Female,24,1,22,1,< 1 Year,No,34591,152,125,0
156,Female,49,1,28,0,1-2 Year,Yes,32771,154,29,0
158,Male,41,1,35,0,1-2 Year,Yes,25112,154,221,0
159,Female,23,1,47,0,< 1 Year,Yes,28737,152,18,0
160,Female,31,1,15,1,< 1 Year,No,25908,152,84,0
161,Male,20,1,3,1,< 1 Year,No,41914,160,206,0
162,Male,70,1,25,1,1-2 Year,No,2630,124,230,0
163,Male,78,1,28,1,1-2 Year,No,42462,26,54,0
164,Female,31,1,28,1,1-2 Year,No,29395,26,123,0
165,Female,48,1,36,1,1-2 Year,No,2630,124,189,0
166,Male,25,1,30,1,< 1 Year,No,29396,152,22,0
168,Female,26,1,8,0,< 1 Year,Yes,89282,152,101,0
169,Female,60,1,28,1,1-2 Year,No,30386,26,114,0
170,Female,28,1,8,1,< 1 Year,No,31454,152,86,0
171,Male,23,1,36,1,< 1 Year,No,52462,152,243,0
172,Male,22,1,36,1,< 1 Year,No,36352,152,13,0
173,Female,50,1,28,0,1-2 Year,Yes,36282,26,237,0
174,Female,33,1,36,1,< 1 Year,No,40899,152,85,0
175,Male,24,1,35,1,< 1 Year,No,23540,152,98,0
176,Female,22,1,36,1,< 1 Year,Yess,34527,152,67,0
177,Male,25,1,28,1,< 1 Year,Yess,101021,152,49,0
178,Male,60,1,45,0,1-2 Year,Yess,42888,124,229,0
180,Female,45,1,46,0,1-2 Year,Yes,22689,26,95,0
181,Male,30,1,28,1,1-2 Year,No,40167,125,264,0
182,Male,52,1,0,0,1-2 Year,Yes,2630,124,89,0
183,Male,47,1,15,1,1-2 Year,No,29306,14,99,0
184,Male,59,1,41,1,1-2 Year,No,28821,26,29,0
185,Female,51,1,28,0,1-2 Year,Yes,57008,26,208,0
186,Male,52,1,0,1,1-2 Year,No,2630,26,134,0
187,Male,48,1,8,0,> 2 Years,Yes,44021,124,135,0
188,Male,42,1,37,0,1-2 Year,Yes,36532,124,268,0
189,Female,45,1,28,0,1-2 Year,Yes,25604,26,85,0
190,Female,27,1,11,1,1-2 Year,No,26756,124,254,0
191,Female,28,1,8,1,< 1 Year,No,37731,152,30,0
192,Female,24,1,16,1,< 1 Year,No,28190,152,284,0
193,Male,32,1,46,1,< 1 Year,No,23847,152,183,0
194,Male,21,1,47,0,< 1 Year,No,37028,160,119,0
195,Male,39,1,28,1,1-2 Year,No,29468,26,166,0
196,Male,55,1,30,1,1-2 Year,No,29215,26,226,0
197,Female,56,1,15,0,1-2 Year,No,29132,154,229,0
199,Female,26,1,26,1,< 1 Year,No,2630,152,142,0
200,Female,42,1,28,0,1-2 Year,Yes,40613,124,242,0
201,Male,55,1,28,0,1-2 Year,Yes,49470,124,203,0
203,Male,22,1,11,1,< 1 Year,No,21126,152,272,0
204,Male,42,1,8,0,1-2 Year,No,24224,154,66,0
206,Male,21,1,30,0,< 1 Year,Yes,26720,160,64,0
207,Female,23,1,46,1,< 1 Year,No,18682,152,57,0
208,Female,21,1,6,0,< 1 Year,Yes,19196,152,40,0
209,Male,24,1,6,1,< 1 Year,No,18576,151,245,0
210,Male,26,1,37,0,< 1 Year,Yes,57159,160,163,0
211,Female,48,1,28,1,1-2 Year,No,35945,124,24,0
212,Male,45,1,28,0,1-2 Year,Yes,33205,26,243,0
214,Male,42,1,45,0,1-2 Year,No,28759,25,102,0
215,Male,44,1,2,0,1-2 Year,,34618,26,265,0
216,Female,25,1,9,0,< 1 Year,,34280,160,202,0
217,Female,60,1,28,0,> 2 Years,,65472,26,36,0
218,Female,21,1,46,0,< 1 Year,,33245,152,259,0
219,Male,22,1,15,0,< 1 Year,,32252,160,100,0
220,Male,23,1,41,1,< 1 Year,,26285,152,91,0
221,Female,44,1,28,1,1-2 Year,,2630,124,114,0
222,Male,40,1,20,0,1-2 Year,,2630,26,204,0
223,Male,21,1,27,1,< 1 Year,,45006,160,106,0
225,Male,75,1,28,0,> 2 Years,,40765,124,162,0
226,Female,53,1,28,1,1-2 Year,,44313,61,33,0
227,Male,37,1,8,1,1-2 Year,,29099,152,194,0
228,Male,29,1,28,1,< 1 Year,,44742,152,85,0
229,Male,32,1,50,0,< 1 Year,,2630,1,287,0
230,Female,64,1,28,1,1-2 Year,Yes,41697,26,287,0
231,Male,42,1,31,0,1-2 Year,Yes,2630,124,181,0
232,Male,24,1,47,0,< 1 Year,Yes,36414,124,292,0
233,Male,53,1,0,0,1-2 Year,Yes,2630,26,69,0
234,,,,15,0,,,,,,0
235,Male,25,1,46,1,< 1 Year,No,39914,152,235,0
237,Female,48,1,33,0,1-2 Year,Yes,44724,154,132,0
238,Male,28,1,15,1,< 1 Year,No,38339,152,245,0
239,Male,33,1,3,1,1-2 Year,No,27609,152,255,0
240,Female,63,1,28,0,> 2 Years,Yes,31004,26,281,0
241,Male,22,1,46,1,< 1 Year,No,30745,152,147,0
242,Male,27,1,3,1,< 1 Year,No,27181,152,125,0
243,Female,36,1,28,0,1-2 Year,Yes,40431,124,230,0
244,Male,49,1,28,0,1-2 Year,Yes,45558,26,49,0
245,Female,39,1,46,0,1-2 Year,No,35145,26,116,0
247,Female,57,1,46,0,1-2 Year,Yes,30777,26,158,0
249,Female,25,1,27,0,< 1 Year,No,2630,152,167,0
250,Male,41,1,11,1,1-2 Year,No,35614,26,152,0
251,Male,33,1,31,1,< 1 Year,No,2630,152,259,0
252,Male,23,1,12,1,< 1 Year,No,24886,26,111,0
253,Female,20,1,34,0,< 1 Year,Yes,33247,160,281,0
254,Male,36,1,28,1,1-2 Year,No,47682,124,121,0
255,Male,21,1,13,1,< 1 Year,No,37710,152,30,0
256,Female,57,1,28,0,> 2 Years,Yes,2630,26,71,0
257,Male,25,1,28,1,< 1 Year,No,43516,152,150,0
258,Female,24,1,46,0,< 1 Year,Yes,27141,152,246,0
259,Male,67,1,28,1,1-2 Year,No,31011,122,63,0
260,Male,24,1,13,1,< 1 Year,No,44603,152,207,0
262,Female,22,1,12,1,< 1 Year,No,29823,152,128,0
263,Male,45,1,30,1,1-2 Year,No,2630,26,121,0
264,Male,22,1,36,1,< 1 Year,No,2630,152,60,0
265,Male,24,1,28,0,< 1 Year,Yes,21583,152,143,0
266,Female,22,1,11,1,< 1 Year,No,32234,152,117,0
267,Male,48,1,28,0,1-2 Year,Yes,42028,26,77,0
268,Female,28,1,21,1,< 1 Year,No,26106,152,95,0
269,Female,27,1,50,0,< 1 Year,Yes,2630,160,83,0
270,Male,49,1,46,1,1-2 Year,No,2630,30,198,0
271,Male,62,1,8,0,1-2 Year,Yes,47272,26,194,0
272,Male,45,1,28,0,1-2 Year,Yes,42704,26,116,0
273,Female,60,1,6,0,1-2 Year,Yes,2630,157,143,0
274,Female,20,1,17,0,1-2 Year,No,2630,156,181,0
275,Female,38,1,10,0,1-2 Year,Yes,37039,124,103,0
276,Female,52,1,31,0,1-2 Year,Yes,2630,26,127,0
278,Male,55,1,28,0,> 2 Years,Yes,41246,26,285,0
279,Female,20,1,35,0,< 1 Year,Yes,34281,160,214,0
280,Male,25,1,28,1,< 1 Year,No,47031,26,151,0
281,Male,25,1,39,0,< 1 Year,No,2630,152,217,0
283,Female,21,1,14,1,< 1 Year,No,36712,152,56,0
284,Male,40,1,48,0,> 2 Years,Yes,2630,26,86,0
285,Male,36,1,28,0,1-2 Year,Yes,34165,124,143,0
286,Male,42,1,15,0,1-2 Year,Yes,28883,26,66,0
287,Male,24,1,10,1,< 1 Year,No,35443,152,45,0
288,Male,39,1,28,0,1-2 Year,Yes,32807,157,186,0
289,Male,26,1,10,0,< 1 Year,Yes,24115,152,69,0
290,Male,64,1,8,0,1-2 Year,Yes,2630,124,293,0
291,Female,25,1,47,1,< 1 Year,No,2630,160,299,0
292,Female,22,1,13,1,< 1 Year,No,37093,152,66,0
294,Female,28,1,6,1,< 1 Year,No,18683,152,215,0
295,Male,22,1,13,1,< 1 Year,No,33413,152,104,0
296,Female,26,1,16,0,< 1 Year,Yes,32232,152,238,0
297,Female,22,1,46,0,< 1 Year,Yes,31180,152,120,0
298,Male,60,1,8,0,1-2 Year,Yes,2630,124,21,0
300,Male,22,1,21,1,< 1 Year,No,30893,152,29,0
301,Male,21,1,29,1,< 1 Year,No,43798,152,258,0
302,Male,67,1,28,0,1-2 Year,Yes,32653,124,171,0
303,Female,35,1,28,0,1-2 Year,Yes,41662,150,223,0
304,Female,24,1,33,1,< 1 Year,No,20513,152,270,0
305,Male,24,1,11,1,< 1 Year,No,27771,152,233,0
306,Male,24,1,15,1,< 1 Year,No,23267,152,143,0
307,Female,28,1,41,1,< 1 Year,No,37948,152,211,0
308,Female,24,1,30,1,< 1 Year,No,24414,152,149,0
309,Male,71,1,28,0,1-2 Year,Yes,42881,124,105,0
310,Male,26,1,35,1,< 1 Year,No,51047,152,165,0
311,Female,45,1,28,0,> 2 Years,Yes,73929,157,86,0
312,Female,59,1,39,0,1-2 Year,Yes,44630,124,200,0
313,Female,26,1,28,1,< 1 Year,No,44082,152,197,0
314,Female,24,1,46,1,< 1 Year,No,21006,152,11,0
315,Male,42,1,8,0,1-2 Year,Yes,35600,124,213,0
316,Male,20,1,12,0,< 1 Year,,82705,160,49,0
317,Male,54,1,6,1,1-2 Year,,24515,124,93,0
318,Male,48,1,8,1,1-2 Year,,41483,124,113,0
319,Male,59,1,41,0,1-2 Year,,2630,156,88,0
320,Male,43,1,5,1,1-2 Year,,2630,124,178,0
321,Female,40,1,29,0,1-2 Year,,2630,157,77,0
322,Male,77,1,50,1,1-2 Year,,42327,124,10,0
323,Female,22,1,28,0,< 1 Year,Yes,48276,152,290,0
324,Female,35,1,28,0,1-2 Year,Yes,41029,125,94,0
325,Male,24,1,8,1,< 1 Year,No,35981,152,231,0
326,Female,24,1,33,1,< 1 Year,No,32219,152,45,0
327,Female,26,1,47,1,< 1 Year,No,2630,152,296,0
328,Male,26,1,30,1,< 1 Year,No,2630,152,270,0
329,Male,39,1,28,0,1-2 Year,Yes,38036,157,10,0
330,Female,52,1,45,0,1-2 Year,Yes,23918,26,265,0
331,Male,20,1,28,1,< 1 Year,No,31367,160,255,0
332,Male,69,1,28,0,1-2 Year,Yes,30727,122,47,0
333,Female,28,1,46,1,< 1 Year,No,41526,160,122,0
335,Female,22,1,8,1,< 1 Year,No,48773,152,217,0
336,Male,20,1,29,1,1-2 Year,No,2630,157,271,0
337,Male,21,1,8,1,< 1 Year,No,27076,160,278,0
338,Male,23,1,18,1,< 1 Year,No,35970,26,16,0
339,Male,36,1,8,0,1-2 Year,Yes,30941,26,249,0
341,Male,27,1,15,0,< 1 Year,Yes,33845,152,260,0
342,Male,47,1,41,1,1-2 Year,No,36809,26,226,0
343,Female,49,1,28,0,1-2 Year,Yes,48505,124,271,0
344,Male,25,1,25,1,< 1 Year,No,32856,152,275,0
345,Female,21,1,29,1,< 1 Year,No,29166,152,278,0
348,Female,42,1,28,0,1-2 Year,Yes,39977,124,276,0
349,Female,31,1,28,0,1-2 Year,Yes,39423,124,190,0
350,Female,60,1,36,1,1-2 Year,Yes,36638,124,33,0
351,Male,46,1,29,0,1-2 Year,Yes,28946,124,64,0
352,Female,23,1,46,1,< 1 Year,No,2630,152,88,0
353,Female,22,1,30,1,< 1 Year,No,18202,152,107,0
354,Male,20,1,8,1,< 1 Year,No,38076,160,79,0
356,Female,29,1,28,1,< 1 Year,No,27715,152,93,0
357,Male,22,1,46,1,< 1 Year,Yes,28311,152,240,0
358,Female,22,1,36,0,< 1 Year,Yes,2630,152,211,0
361,Male,44,1,28,0,1-2 Year,Yes,39450,124,214,0
362,Female,23,1,8,1,< 1 Year,No,42644,152,257,0
363,Female,50,1,28,0,1-2 Year,Yes,68147,30,218,0
364,Male,50,1,28,1,1-2 Year,No,42024,122,224,0
365,Female,44,1,41,0,1-2 Year,Yes,30875,124,173,0
366,Male,22,1,46,1,< 1 Year,No,25037,152,220,0
367,Male,31,1,24,0,1-2 Year,Yes,2630,156,257,0
368,Female,20,1,12,0,< 1 Year,Yes,2630,160,203,0
369,Male,52,1,30,1,< 1 Year,No,2630,1,152,0
370,Male,58,1,28,1,1-2 Year,No,44522,23,94,0
371,Male,59,1,49,0,1-2 Year,Yes,39971,124,143,0
372,Female,25,1,8,1,< 1 Year,No,42307,152,213,0
374,Male,44,1,46,1,1-2 Year,No,50696,26,193,0
375,Female,38,1,29,0,1-2 Year,Yes,47639,122,169,0
376,Male,38,1,28,0,1-2 Year,Yes,65212,124,32,0
377,Male,23,1,27,1,< 1 Year,No,26287,160,199,0
378,Female,78,1,46,1,1-2 Year,No,31616,11,185,0
379,Male,20,1,35,1,< 1 Year,No,2630,160,81,0
380,Male,25,1,11,0,< 1 Year,No,38081,152,132,0
381,Male,47,1,28,1,1-2 Year,No,31269,124,213,0
382,Male,66,1,31,0,> 2 Years,Yes,2630,26,90,0
384,Female,24,1,8,0,< 1 Year,Yes,54408,152,86,0
385,Male,26,1,8,1,< 1 Year,No,54203,152,81,0
386,Female,22,1,28,1,< 1 Year,No,38452,26,51,0
387,Female,34,1,28,0,1-2 Year,No,46685,124,205,0
388,Male,66,1,28,0,1-2 Year,No,42644,122,80,0
389,Female,44,1,28,0,1-2 Year,Yes,45485,122,245,0
390,Male,21,1,13,0,< 1 Year,Yes,28733,152,70,0
391,Male,20,1,46,0,< 1 Year,Yes,49211,160,284,0
392,Male,22,1,50,1,< 1 Year,No,36287,152,70,0
393,Female,25,1,37,0,< 1 Year,Yes,2630,152,249,0
394,Female,49,1,29,0,1-2 Year,No,2630,156,265,0
395,Male,50,1,31,0,1-2 Year,Yes,2630,124,237,0
396,Male,75,1,8,1,1-2 Year,No,2630,26,11,0
397,Male,31,1,28,0,< 1 Year,Yes,32883,26,132,0
398,Male,21,1,28,0,< 1 Year,No,2630,152,186,0
399,Female,47,1,15,0,1-2 Year,Yes,2630,14,166,0
403,Female,27,1,33,0,< 1 Year,Yes,2630,152,125,0
405,Male,51,1,28,0,1-2 Year,Yes,37690,26,34,0
406,Female,66,1,47,0,1-2 Year,Yes,34757,26,92,0
407,Male,45,1,28,0,1-2 Year,No,42620,124,245,0
408,Female,45,1,35,1,1-2 Year,No,2630,26,200,0
409,Female,68,1,30,1,1-2 Year,No,2630,160,218,0
410,Male,47,1,28,0,> 2 Years,Yes,33145,124,237,0
411,Male,28,1,6,0,1-2 Year,Yes,31181,124,282,0
412,Female,25,1,40,0,< 1 Year,Yes,39361,152,104,0
413,Female,51,1,28,0,> 2 Years,Yes,33632,124,137,0
414,Female,24,1,6,1,< 1 Year,No,29371,152,168,0
415,Female,25,1,43,1,< 1 Year,No,27080,160,177,0
416,Female,24,1,43,0,< 1 Year,Yes,29981,152,185,0
418,Male,29,1,46,0,< 1 Year,Yes,2630,152,118,0
419,Female,22,1,46,1,< 1 Year,No,31506,160,113,0
420,Female,38,1,38,1,1-2 Year,,37379,124,158,0
421,Female,26,1,8,1,< 1 Year,,22650,152,181,0
422,Male,23,1,6,1,< 1 Year,,24308,152,256,0
423,Female,36,1,46,0,< 1 Year,,2630,1,94,0
424,Female,37,1,28,0,1-2 Year,,20267,152,88,0
425,Female,21,1,8,1,< 1 Year,,46704,152,99,0
426,Female,24,1,13,0,< 1 Year,Yes,2630,151,19,0
427,Male,22,1,46,1,< 1 Year,No,23810,152,220,0
428,Male,54,1,28,1,1-2 Year,No,34431,124,288,0
430,Female,44,1,28,0,1-2 Year,Yes,119735,152,295,0
432,Male,42,1,11,0,1-2 Year,Yes,40473,124,46,0
433,Female,45,1,28,0,1-2 Year,Yes,27616,26,134,0
434,Male,25,1,16,1,< 1 Year,No,2630,152,178,0
435,Male,76,1,15,1,1-2 Year,No,39952,14,126,0
436,Male,64,1,28,0,1-2 Year,Yes,42417,60,116,0
437,Male,29,1,8,0,< 1 Year,Yes,42992,124,241,0
438,Female,28,1,14,1,< 1 Year,No,27555,152,258,0
439,Female,24,1,46,1,< 1 Year,No,25784,152,128,0
440,Female,49,1,8,0,1-2 Year,Yes,38022,124,197,0
441,Male,53,1,39,0,1-2 Year,Yes,2630,157,83,0
443,Male,54,1,33,0,1-2 Year,Yes,39396,124,295,0
444,Female,25,1,23,1,< 1 Year,No,2630,152,228,0
445,Female,21,1,30,1,< 1 Year,No,24030,152,82,0
446,Female,39,1,28,0,1-2 Year,Yes,33016,124,74,0
448,Female,24,1,32,0,< 1 Year,Yes,2630,152,107,0
449,Female,23,1,2,1,< 1 Year,No,24881,152,247,0
450,Male,33,1,15,1,< 1 Year,No,2630,152,190,0
452,Female,23,1,21,0,< 1 Year,Yes,24388,152,270,0
453,Male,47,1,46,1,1-2 Year,No,2630,21,270,0
454,Male,63,1,28,0,1-2 Year,Yes,44879,124,85,0
455,Female,27,1,10,0,< 1 Year,Yes,24453,152,152,0
456,Male,49,1,8,0,1-2 Year,Yes,41648,124,98,0
457,Male,29,1,28,0,< 1 Year,Yes,40186,160,227,0
458,Male,46,1,33,0,1-2 Year,Yes,30866,124,77,0
459,Male,33,1,11,1,< 1 Year,No,35263,152,271,0
460,Male,40,1,8,1,1-2 Year,No,31839,152,165,0
461,Female,30,1,49,0,< 1 Year,Yes,27967,152,270,0
463,Male,23,1,35,1,< 1 Year,No,27968,152,128,0
464,Male,70,1,28,0,> 2 Years,Yes,51565,122,115,0
465,Male,24,1,2,0,< 1 Year,Yes,26707,152,224,0
466,,Male,,,,> 2 Years,,Yes,124,,0
467,Male,70,1,8,0,1-2 Year,Yes,46177,26,249,0
468,Female,22,1,46,0,< 1 Year,Yes,26118,152,46,0
469,Male,70,1,7,1,1-2 Year,No,65479,124,213,0
470,Female,23,1,28,1,< 1 Year,No,38010,152,177,0
472,Female,22,1,43,0,1-2 Year,Yes,42589,157,236,0
473,Female,66,1,28,0,1-2 Year,Yes,30967,26,64,0
474,Female,24,1,8,0,< 1 Year,Yes,42636,152,155,0
475,Male,40,1,28,0,1-2 Year,Yes,37142,124,286,0
476,Male,59,1,8,1,1-2 Year,No,34424,26,134,0
477,Female,23,1,27,0,< 1 Year,Yes,27827,151,19,0
478,Male,45,1,46,0,1-2 Year,Yes,37726,26,186,0
479,Female,22,1,44,1,< 1 Year,No,37232,152,177,0
481,Male,73,1,29,0,> 2 Years,Yes,104002,3,132,0
482,Female,33,1,7,0,1-2 Year,No,2630,26,103,0
483,Female,25,1,2,1,< 1 Year,No,28342,152,113,0
486,Male,69,1,46,1,1-2 Year,No,44679,26,293,0
487,Male,79,1,45,0,1-2 Year,Yes,21882,124,78,0
488,Female,24,1,28,1,< 1 Year,No,28036,152,108,0
489,Male,72,1,8,1,1-2 Year,No,36462,26,61,0
491,Female,62,1,28,0,1-2 Year,Yes,31026,124,105,0
492,Male,43,1,18,0,1-2 Year,Yes,39225,124,268,0
493,Male,29,1,37,0,1-2 Year,Yes,2630,154,66,0
494,Female,20,1,28,1,< 1 Year,Yes,2630,160,120,0
495,Female,27,1,46,1,< 1 Year,No,28640,152,93,0
496,Male,20,1,8,0,< 1 Year,Yes,40115,160,292,0
497,Male,22,1,35,0,< 1 Year,Yes,30083,152,84,0
498,Male,56,1,28,0,1-2 Year,Yes,32018,26,183,0
